VEC1 VEC2
24.985 4.247
8.425 3.272
14.992 7.384
18.096 -3.743
16.664 10.315
2.695 19.066
10.919 -9.901
12.912 6.418
0.926 7.287
-2.941 2.714
27.019 5.895
31.122 23.421
10.999 12.151
37.391 15.379
0.069 13.808
32.565 4.635
18.737 11.795
12.030 9.409
15.988 -0.799
29.278 22.509
20.641 16.575
17.138 6.880
27.051 24.828
36.600 21.983
23.380 13.111
12.726 0.928
28.429 12.409
31.066 4.864
41.038 6.040
25.110 24.878
-4.407 -5.797
20.313 -1.974
16.531 4.576
25.782 8.737
24.680 2.773
18.422 18.012
34.917 16.747
22.477 6.928
16.982 4.748
18.531 18.557
20.138 8.633
30.896 22.755
32.664 5.759
34.821 26.877
11.421 13.310
6.543 5.642
39.009 14.142
24.499 10.015
13.345 15.290
5.280 19.842
